Locality,Dx Year,Sex,Race,All Sites**,Oral,Colorectal,Liver,Pancreas,Lung,Melanoma,Breast,Cervix,Ovary,Prostate,Kidney,Brain and CNS,Thyroid,Hodgkin Lymphoma,Non-Hodgkin Lymphoma,Myeloma,Leukemia
HD_Alleghany,2014,Male,White,451.4,20.4,45,^,^,49.7,39.4,^,^,^,74.4,26,^,^,^,28.6,^,^
HD_Alleghany,2014,Male,All,453.1,19.2,44.8,14.4,13.4,50.1,36.9,^,^,^,78.4,26.2,^,^,^,26.7,^,^
HD_Alleghany,2014,Female,Black,491.5,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2014,Female,White,407.9,^,41.7,^,^,48,16.6,120.6,^,^,^,^,^,23.5,^,18.3,^,^
HD_Alleghany,2014,Female,All,407.8,^,40.5,^,10.8,49.8,15.4,124.1,^,^,^,^,^,23.2,^,17.3,^,^
HD_Alleghany,2014,All,Black,483.4,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2014,All,White,424.5,13,43.5,8.1,11.6,48.2,26.8,65.4,^,^,33.8,18.5,8,15.1,^,22.9,^,11.7
HD_Alleghany,2014,All,All,425.2,12.8,42.7,8.5,12,49.4,25,67.1,^,^,35.8,18.2,8.3,14.7,^,21.4,^,11.3
HD_Alleghany,2015,Male,Black,381.1,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2015,Male,White,414,19.5,44.6,^,14.7,51.6,47.5,^,^,^,72.4,18.6,^,^,^,18.9,^,^
HD_Alleghany,2015,Male,All,418.8,18.2,44.4,^,13.8,51.9,44.4,^,^,^,81.2,17.8,^,^,^,21.6,^,^
HD_Alleghany,2015,Female,Black,406.6,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2015,Female,White,396.2,^,32.2,^,^,48.3,30.1,124.2,^,15.2,^,^,^,24.2,^,14.9,^,^
HD_Alleghany,2015,Female,All,397.3,^,34.7,^,^,47.5,29.1,127.1,^,15.6,^,^,^,23.6,^,14.8,^,^
